Periode,Date,IPC,Date2,JOIN,LEFT,RIGHT,DAY
1951-05,5/1/1951,6.526,1/5/1951,1/5/1951,1951,5,1
1951-04,4/1/1951,6.343,1/4/1951,1/4/1951,1951,4,1
1951-03,3/1/1951,6.233,1/3/1951,1/3/1951,1951,3,1
1951-02,2/1/1951,6.086,1/2/1951,1/2/1951,1951,2,1
1951-01,1/1/1951,6.013,1/1/1951,1/1/1951,1951,1,1
1950-12,12/1/1950,5.94,1/12/1950,1/12/1950,1950,12,1
1950-09,9/1/1950,5.72,1/9/1950,1/9/1950,1950,9,1
1950-06,6/1/1950,5.39,1/6/1950,1/6/1950,1950,6,1
1950-03,3/1/1950,5.426,1/3/1950,1/3/1950,1950,3,1
1949-12,12/1/1949,5.28,1/12/1949,1/12/1949,1949,12,1
1949-09,9/1/1949,5.06,1/9/1949,1/9/1949,1949,9,1
1949-06,6/1/1949,4.876,1/6/1949,1/6/1949,1949,6,1
1949-03,3/1/1949,4.986,1/3/1949,1/3/1949,1949,3,1
