Annee,Mois,Var_IPC_Mens,Var_IPC_An,Var_An_Viande,Var_Mens_Viande,Var_An_Boisson,Var_Mens_Boisson,Var_An_Autre_Alim,Var_Mens_Autre_Alim,Var_An_Hygiene,Var_Mens_Hygiene
2023,12,0.13532608320395587,3.7053219970621223,4.6023741857369576,-0.23582926267834764,5.9948610863114693,-0.06679064273668639,7.5871472863598441,-0.17441035497672533,2.5491479133738242,-0.22879107502550056
2023,11,-0.16887355207871849,3.474532773043145,5.5060605281238635,0.16000567379514694,6.4143580111084422,0.11701721026634393,8.7132644287810503,4.7586895401656032E-2,4.0567511857674345,-6.4020209592746347E-2
2023,10,0.14374950606671044,3.9771718337226063,6.9862292754059085,-0.16735220558901581,7.3967663832170851,-0.10853908078947451,10.113538717078329,-0.12673957178572012,5.8983015379085959,0.16488885099197501
2023,9,-0.52989928223754501,4.8962252767922596,8.7075220227554446,-0.28066078438022268,8.5659871051337078,-0.5480392430763863,12.044022291077352,-0.30011441681378248,8.0578175505232164,-0.92575480145328259
2023,8,1.0024639489878624,4.8597656286010915,9.4206492014244319,0.16716147685043106,9.1543535815280279,0.29982561111564726,13.093965507313513,0.26924609643003783,8.3169474861850361,0.39179982248362755
2023,7,5.0996649227031773E-2,4.2881157261575344,11.251054281689621,0.41198844583648242,10.065087290794846,0.40976572693301277,15.019580768978196,0.31776416794292961,9.3672164113714853,9.1197877546306039E-2
2023,6,0.17881393060889117,4.5313179349944424,12.632125316391713,3.0533881778678967E-2,10.845388279119582,0.33562806247243721,16.56634849851266,0.23888789456052972,10.289683710866354,0.45808519744404452
2023,5,-5.1061751994680847E-2,5.1199437506299779,14.346804229690125,0.60656730099284051,10.865116562954215,0.83763249286701003,17.11274633932441,0.80269705033085403,11.673832526590283,0.19276581583115437
2023,4,0.60792797234943863,5.8844721163061546,16.119829922190519,1.125873346238754,10.830835631905464,1.42452903072054,17.572671675598947,1.6647632612093854,11.390592067520608,0.69322486650851722
2023,3,0.87234595515566005,5.7018763449751404,16.530942090118668,0.75099072309088177,10.570262315365973,1.2863934709095604,17.184662210143017,2.1081565988349231,11.928407140974095,0.53898506436667937
2023,2,1.0296686918737161,6.2786820126698091,16.325418637772955,0.90780038136131935,9.843426960346159,0.77960700867061683,15.929294849207798,1.1888732548483483,11.351408619605365,0.97588525711317375
2023,1,0.38541940951054521,5.9933366286784642,15.922402745465019,1.0449051048054354,9.1813373447488225,1.0891732521116628,14.911345340728497,1.3328755522820488,11.184143339968292,0.24456978854426756
2022,12,-8.7518354849903723E-2,5.8507234837860338,14.660697773534109,0.6260586175602838,8.1912275117231239,0.32871602221688412,13.586956401016788,0.87046638529369913,9.8470747050014715,1.23797295106878
2022,11,0.31606725682946346,6.1501326496836324,14.439233209077992,1.5651733900745848,7.8574136645116335,1.0412890635781271,13.078645443055839,1.3362434753684498,8.931535761480438,1.7046025532498486
2022,10,1.0289193578937945,6.200467623197115,13.039072948389169,1.4388471507306031,7.2907633259427476,0.97897193078523637,11.936649697125198,1.6242139529554747,7.5072876048952368,2.2074870629949204
2022,9,-0.56447292745823741,5.5519150273575342,11.507610611450438,0.37350343268918107,6.1585851026231406,-9.0656540056844627E-3,10.11532301113234,0.63415424283539812,5.4048419272819324,-0.68816807828964754
2022,8,0.45184238010606526,5.9131191230323035,10.643772644181825,1.8427728224334892,5.6092663366316389,1.1366812125681289,8.9423010037884172,1.9764989077784174,5.060939414711493,1.3652244817276569
2022,7,0.2843178019969152,6.0808281277415892,8.9720023141185408,1.6585032737162744,4.6326434900213069,1.1216157909517557,6.8931962751083482,1.666823860880648,3.925021759893403,0.93542579189694142
2022,6,0.74293038129763078,5.8397657774363338,7.223812821769525,1.5533698102605007,3.6012677412002043,0.35348581713299415,5.3047241834464982,0.70875173276472303,2.7278357335681065,1.718846267540719
2022,5,0.67585833265727335,5.1977442853893638,6.0527469703078518,2.1665411879815815,3.1669895858029409,0.80645218986661293,4.4210739191654191,1.1985695389148445,1.7171418344911211,-6.1354996028502418E-2
2022,4,0.43443150168707745,4.8271307206585057,3.9192099925628776,1.4839007137681237,2.3023806360927308,1.1860707915733955,3.2144898739968308,1.3292525520751597,1.6632080605745396,1.1793910060602617
2022,3,1.4227973082678711,4.4822674834700056,2.627908011423759,0.57329807709264036,1.2003072856981891,0.62058577347340904,1.880358843192304,1.0142997351305845,-0.05169622876287288,2.0699785375909524E-2
2022,2,0.75841627265417466,3.6339417760797437,1.7876994456675237,0.55819968627884653,0.42185503273032104,0.1721502576307081,1.2618539017638806,0.30035612958394775,-0.24772695145907844,0.82420545446397586
2022,1,0.25035167017246251,2.8538812039724233,1.6936531828867267,-5.4872471742491241E-2,0.24927564643206948,0.1724471258020531,0.83040100532701078,0.16498269355090336,-0.5189413678447502,-0.96094267090931862
2021,12,0.19509391087273781,2.7534293205571987,1.1938854694107537,0.4317016436590006,0.42331614554247832,1.9161214018259373E-2,0.49741748005701697,0.41906276446547613,-0.51398026960749721,0.3941880159783579
2021,11,0.36363579454399764,2.778569597479335,0.99257853852794586,0.32252682855016263,0.31721795148224258,0.51044858899189272,7.8027730427362177E-2,0.31283575321157675,-0.59806332334305923,0.37484444702182329
2021,10,0.41194874212488752,2.62175658574564,1.0522369492879351,6.4545594093124894E-2,5.7825180620057981E-2,-8.6601558387554747E-2,-0.20487715558307928,-2.9318588141466213E-2,-0.94884300498373519,0.20868591953153731
